,image_no,text,bb
0,50120516-0516_0.tif,t ,606 39 611 46
1,50120516-0516_1.tif,P w ’**' v ,636 11 690 17
2,50120516-0516_2.tif,a m ,626 39 636 41
3,50120516-0516_3.tif,& ,625 56 629 59
4,50120516-0516_4.tif,Quotation No: ,77 56 135 64
5,50120516-0516_5.tif,Pro|octNo: DMB 1 ,77 74 202 86
6,50120516-0516_6.tif,Your reference: Grant 10 87 S 2 ,76 93 262 107
7,50120516-0516_7.tif,"Otley Road, Harrogate' ",503 66 721 85
8,50120516-0516_8.tif,North Yorkshire HG31PY ,503 84 647 96
9,50120516-0516_9.tif,England ,503 99 548 112
10,50120516-0516_10.tif,"Mr W T Hoyt, ",124 139 226 153
11,50120516-0516_11.tif,"Executive Vice President, ",124 152 339 168
12,50120516-0516_12.tif,The Council for Tobacco Research ,123 167 402 182
13,50120516-0516_13.tif,"- USA Inc., ",185 184 277 196
14,50120516-0516_14.tif,"110 East 59th Street, ",125 197 303 212
15,50120516-0516_15.tif,"New York, ",123 212 199 225
16,50120516-0516_16.tif,"NY 10022, ",123 226 199 240
17,50120516-0516_17.tif,USA. ,123 242 154 253
18,50120516-0516_18.tif,Telephone ,502 141 544 151
19,50120516-0516_19.tif,Harrogate (0423167266 ,502 151 597 161
20,50120516-0516_20.tif,Telex: 57735 ,502 160 553 170
21,50120516-0516_21.tif,Cat*»- MMLabs Harrogate ,502 170 611 181
22,50120516-0516_22.tif,Registered in London No. I17J833 ,501 214 642 227
23,50120516-0516_23.tif,Registered Office as above ,501 224 610 235
24,50120516-0516_24.tif,V A T. Hag. No. 171581071 ,500 235 618 247
25,50120516-0516_25.tif,To professional foos> ,74 272 162 283
26,50120516-0516_26.tif,Study : Buccal absorption of labelled ,122 336 460 355
27,50120516-0516_27.tif,nicotine ,209 353 277 364
28,50120516-0516_28.tif,Additional costs for completion of study ,120 394 468 413
29,50120516-0516_29.tif,$ ,600 402 607 414
30,50120516-0516_30.tif,"16,320. 00 ",627 403 712 415
31,50120516-0516_31.tif,• ,83 460 85 463
32,50120516-0516_32.tif,FOR RECORD PURPOSES ONLY - PAYMENT ,119 513 414 528
33,50120516-0516_33.tif,ALREADY RECEIVED ,118 535 257 547
34,50120516-0516_34.tif,: . ,52 587 60 602
35,50120516-0516_35.tif,$ ,585 824 591 835
36,50120516-0516_36.tif,"16,320. 00 ",621 825 706 838
37,50120516-0516_37.tif,ft ,38 842 45 850
38,50120516-0516_38.tif,% V.A.7> ,544 861 592 870
39,50120516-0516_39.tif,zero rated ,620 863 706 874
40,50120516-0516_40.tif,Our Report Number: ,63 883 167 896
41,50120516-0516_41.tif,Amount due ► $ ,527 896 600 911
42,50120516-0516_42.tif,"16,320. 00 ",619 900 704 913
43,50120516-0516_43.tif,"Payment - This account is prescntod for immediate payment, end queries should be ",63 924 415 941
44,50120516-0516_44.tif,addressed vwthout dettv to the Finance Officer. Hazleton Laboratory Europe Ltd ,61 935 397 951
45,50120516-0516_45.tif,Plftttn quote account numbers with «J ranvnancos ,60 946 269 958
