,image_no,text,bb
0,506593709+-3709_0.tif,Lone Haymes & Carr Inc WO Chariots Bivd Box 5627 Winston-Salem NC 27113 (919)765-3630 ,148 15 628 36
1,506593709+-3709_1.tif,Advertising & Marketing Member ot the American Association ot Advertising Agencies ,149 30 627 50
2,506593709+-3709_2.tif,PRODUCTION ESTIMATE ,379 50 626 72
3,506593709+-3709_3.tif,Client: ,51 112 87 122
4,506593709+-3709_4.tif,Product: ,51 135 97 146
5,506593709+-3709_5.tif,X*. . ,144 89 242 97
6,506593709+-3709_6.tif,£.J. Reynolds Tobacco Co. Page 1 of ,164 110 461 125
7,506593709+-3709_7.tif,^MAGNA Date: ,146 132 426 146
8,506593709+-3709_8.tif,Media: Magazine Estimate No: ,51 156 466 170
9,506593709+-3709_9.tif,"Job Description: ""BLUE LIGHTNING"" - SOFT PACKobNo: ",51 179 440 194
10,506593709+-3709_10.tif,SIZE D : ,165 194 407 207
11,506593709+-3709_11.tif,1 ,486 115 493 126
12,506593709+-3709_12.tif,7/28/87 ,484 138 543 150
13,506593709+-3709_13.tif,K7MSB041D4CR1 ,484 161 596 172
14,506593709+-3709_14.tif,7517 ,484 184 517 194
15,506593709+-3709_15.tif,ft'-. ,678 43 703 50
16,506593709+-3709_16.tif,Actual ,508 278 543 288
17,506593709+-3709_17.tif,Difference ,624 283 680 294
18,506593709+-3709_18.tif,Work Category ,88 282 170 295
19,506593709+-3709_19.tif,Estimate ,257 289 303 301
20,506593709+-3709_20.tif,TOTAL ,57 405 100 416
21,506593709+-3709_21.tif,Warning revision + 1 set ,221 468 428 482
22,506593709+-3709_22.tif,"antlty 2,908,(00 inserts ",222 483 428 497
23,506593709+-3709_23.tif,Reason for Revisidfa ,55 511 220 524
24,506593709+-3709_24.tif,Rl-Printing-Other f Added market! for Discount ,55 528 453 542
25,506593709+-3709_25.tif,"Printing-Other - Quantity 3,348,000 inserts ",56 539 427 560
26,506593709+-3709_26.tif,Requested by ,55 573 159 587
27,506593709+-3709_27.tif,04-72-7150-8040-8 ,55 603 201 616
28,506593709+-3709_28.tif,Authorized by ,54 618 168 633
29,506593709+-3709_29.tif,Breiuluyur ,219 620 304 634
30,506593709+-3709_30.tif,WARNING ,392 654 453 664
31,506593709+-3709_31.tif,R OF COVER DA'‘El ,469 700 606 712
32,506593709+-3709_32.tif,"DATEi July, 98 ",469 715 607 729
33,506593709+-3709_33.tif,LHC 016 ,657 971 693 981
34,506593709+-3709_34.tif,50659 3709 ,688 812 701 903
