,image_no,text,bb
0,514858504_514858506_0.tif,2167791889 ,185 3 257 12
1,514858504_514858506_1.tif,SENT BY'.RJR/p.ORSYTH : 1-10-95 :12:41PM ! ,39 13 400 30
2,514858504_514858506_2.tif,I orsytli Tcbaccc ,128 142 496 174
3,514858504_514858506_3.tif,To: Gwen Scott J ,281 211 470 231
4,514858504_514858506_4.tif,Company: RJR ,230 239 365 257
5,514858504_514858506_5.tif,Fax: 2685 ,280 281 369 295
6,514858504_514858506_6.tif,From: J. M. PISCITELLI ,252 324 507 344
7,514858504_514858506_7.tif,Company: RJR/FORSYTH TOBACCO ,230 351 548 370
8,514858504_514858506_8.tif,Phone: (910) 741-7296 or (216) 779-1886 ,256 373 598 392
9,514858504_514858506_9.tif,Fax: (216)779-1889 ,281 394 451 412
10,514858504_514858506_10.tif,Date: 1/9/95 ,273 440 379 453
11,514858504_514858506_11.tif,Pages including this ,144 460 316 479
12,514858504_514858506_12.tif,cover page: 3 ,217 479 347 499
13,514858504_514858506_13.tif,Comments: accrual requests ,127 538 469 558
14,514858504_514858506_14.tif,Please process the forthcoming special requests for accrual moneys. ,127 599 669 619
15,514858504_514858506_15.tif,DISCOUNT DRUG ,314 641 463 657
16,514858504_514858506_16.tif,"SHEETZ, INC. ",313 662 428 679
17,514858504_514858506_17.tif,TURKEY HILL ,313 682 428 697
18,514858504_514858506_18.tif,"UNI-MARTS, INC. ",314 703 455 720
19,514858504_514858506_19.tif,"WEIS MARKETS, INC. ",313 723 495 741
20,514858504_514858506_20.tif,Thank you. ,127 766 213 784
21,514858504_514858506_21.tif,cc: L. E. MacWilliams ^ ,127 827 334 842
22,514858504_514858506_22.tif,J. A. Morris ,174 847 263 862
23,514858504_514858506_23.tif,C. E. Moser ,174 868 269 883
24,514858504_514858506_24.tif,"Tony Varde, Jr. ",175 889 295 906
25,514858504_514858506_25.tif,S8MS ,733 856 747 899
