,image_no,text,bb
0,CTRCONTRACTS017947-7_0.tif,UNION CARBIDE CORPORATION INVOICE ,117 153 410 163
1,CTRCONTRACTS017947-7_1.tif,NUCLEAR DIVISION ,116 166 193 173
2,CTRCONTRACTS017947-7_2.tif,p.o. »ox ». o** biooi. tcnnkucc jnio ,116 176 256 183
3,CTRCONTRACTS017947-7_3.tif,Acting Under U.S. Goverr«nent Contract W7405 eng 2S With the U.S. Departraent of Energy ,57 190 410 199
4,CTRCONTRACTS017947-7_4.tif,UCN-S4H ,57 209 95 215
5,CTRCONTRACTS017947-7_5.tif,(6 12-77) ,55 219 93 226
6,CTRCONTRACTS017947-7_6.tif,"THE COUNCIL FOR TOBACCO RESEARCH USA, INC. ",143 288 420 300
7,CTRCONTRACTS017947-7_7.tif,ACCOUNTS PAYABLE ,143 301 249 311
8,CTRCONTRACTS017947-7_8.tif,110 EAST 59TH STREET ,144 314 276 324
9,CTRCONTRACTS017947-7_9.tif,"HEW YORK, HEW YORK 10022 ",144 327 328 339
10,CTRCONTRACTS017947-7_10.tif,ISSUE CHECK PAYABLE TO: ,517 150 636 157
11,CTRCONTRACTS017947-7_11.tif,"UNION CAR8IDE CORPORATION, NUCLEAR DIVISION ",468 158 690 167
12,CTRCONTRACTS017947-7_12.tif,Government Fund Account ,526 168 628 175
13,CTRCONTRACTS017947-7_13.tif,"P. 0. Box P, Oclc Ridge, Tennessee 37830 ",495 177 664 187
14,CTRCONTRACTS017947-7_14.tif,Attention: Monogrr of Accounting ,491 188 623 197
15,CTRCONTRACTS017947-7_15.tif,/ certify that the above bill la correct and lmml: that ,470 204 686 211
16,CTRCONTRACTS017947-7_16.tif,payment iheretor bat not 6e#b received: that alt ,470 213 686 220
17,CTRCONTRACTS017947-7_17.tif,atatutory requirement* a a to American Production and ,470 222 686 229
18,CTRCONTRACTS017947-7_18.tif,Pair Labor Standard■ Act have bean complied with: ,471 231 685 238
19,CTRCONTRACTS017947-7_19.tif,and that State or local eater laxee are not Included In ,470 239 686 246
20,CTRCONTRACTS017947-7_20.tif,the amounte billed. ,471 248 543 254
21,CTRCONTRACTS017947-7_21.tif,. Acocwnfojif ,471 266 686 273
22,CTRCONTRACTS017947-7_22.tif,"Union Carbide Corporafics, ",509 274 611 281
23,CTRCONTRACTS017947-7_23.tif,Aluctaar Division ,526 283 592 289
24,CTRCONTRACTS017947-7_24.tif,15710 1 ,534 329 611 340
25,CTRCONTRACTS017947-7_25.tif,SUPPL. AGREEteNT #10 ,50 394 182 404
26,CTRCONTRACTS017947-7_26.tif,CUSTOMCIW OROtR NO. ,64 408 164 412
27,CTRCONTRACTS017947-7_27.tif,79 NOV 16 11. H02 ,50 421 202 431
28,CTRCONTRACTS017947-7_28.tif,DATE INVOICE NO. ,76 435 216 439
29,CTRCONTRACTS017947-7_29.tif,CONTAINER NO. ,300 408 368 413
30,CTRCONTRACTS017947-7_30.tif,OUR SHIPPING REFERENCE ,246 435 363 440
31,CTRCONTRACTS017947-7_31.tif,DATE SHIP* ,392 435 437 440
32,CTRCONTRACTS017947-7_32.tif,35T2-L-Q284Q-Q1 ,494 370 591 381
33,CTRCONTRACTS017947-7_33.tif,OUR ACC OUNT NO. ,509 382 588 387
34,CTRCONTRACTS017947-7_34.tif,SHIPPED VIA ,520 409 575 415
35,CTRCONTRACTS017947-7_35.tif,B/U NO. ,532 436 565 441
36,CTRCONTRACTS017947-7_36.tif,QUANTITY ,90 461 145 467
37,CTRCONTRACTS017947-7_37.tif,DESCRIPTION ,346 462 415 468
38,CTRCONTRACTS017947-7_38.tif,CHARACTERIZATION OF ANIMAL INHALATION EXPOSURE ,216 519 519 531
39,CTRCONTRACTS017947-7_39.tif,DEVICES ,216 532 262 543
40,CTRCONTRACTS017947-7_40.tif,"OCTOBER, 1979 ",249 559 334 570
41,CTRCONTRACTS017947-7_41.tif,AMOUNT ,612 463 655 469
42,CTRCONTRACTS017947-7_42.tif,"9,313.00 ",533 535 586 546
43,CTRCONTRACTS017947-7_43.tif,"9,313.00 ",652 549 704 560
44,CTRCONTRACTS017947-7_44.tif,|U77 ,385 607 433 623
45,CTRCONTRACTS017947-7_45.tif,TERMSi ,75 748 105 754
46,CTRCONTRACTS017947-7_46.tif,NET CASH ,68 758 112 765
47,CTRCONTRACTS017947-7_47.tif,[See Reverie) ,64 769 117 776
48,CTRCONTRACTS017947-7_48.tif,"Rotor soy quo*tion* retarding this invoice to Accounts Rocelvoblo Department, phone 483*8611, ",234 752 654 761
49,CTRCONTRACTS017947-7_49.tif,"* extension 3*3117, Are* Code 61$. , ",227 762 397 770
50,CTRCONTRACTS017947-7_50.tif,4? A ,428 788 452 793
51,CTRCONTRACTS017947-7_51.tif,CTR CQNTRflCTS 017347 ,373 933 679 951
52,CTRCONTRACTS017947-7_52.tif,11237695 ,346 986 410 997
