,image_no,text,bb
0,CTRSP-FILES025078-50_0.tif,"to: The Council for Tobacco Research - USA, Inc. ",75 195 382 208
1,CTRSP-FILES025078-50_1.tif,900 Third Avenue ,97 210 200 221
2,CTRSP-FILES025078-50_2.tif,"New York, New York 10022 ",97 223 260 236
3,CTRSP-FILES025078-50_3.tif,ACVA ATLANTIC INC. ,534 120 659 130
4,CTRSP-FILES025078-50_4.tif,Toe Mosby Bu**ng ,534 135 629 146
5,CTRSP-FILES025078-50_5.tif,Suite 406 ,535 148 580 157
6,CTRSP-FILES025078-50_6.tif,10560 Main Street ,535 161 622 170
7,CTRSP-FILES025078-50_7.tif,Fairfax ,535 175 567 183
8,CTRSP-FILES025078-50_8.tif,Virginia 22030 ,534 188 603 200
9,CTRSP-FILES025078-50_9.tif,(703) 352-0102 ,535 202 607 213
10,CTRSP-FILES025078-50_10.tif,INVOICE NO.: 476 ,491 261 577 272
11,CTRSP-FILES025078-50_11.tif,DATE: 26 Nov 85 ,522 281 615 291
12,CTRSP-FILES025078-50_12.tif,YOUAneF- Mr. R.F. Gertenbach - Special Project #134 ,74 319 410 332
13,CTRSP-FILES025078-50_13.tif,Residential Air Quality Study ,222 378 410 391
14,CTRSP-FILES025078-50_14.tif,To the completion of one third of the Residential Home ,136 416 487 431
15,CTRSP-FILES025078-50_15.tif,"Studies, namely the 12 homes in the Boston area. ",137 431 447 444
16,CTRSP-FILES025078-50_16.tif,Final Reports on these 12 homes are available at this ,137 456 481 471
17,CTRSP-FILES025078-50_17.tif,"time. However, we understand from the Tobacco Institute ",136 470 500 483
18,CTRSP-FILES025078-50_18.tif,that all reports are to be submitted together when all ,137 483 486 497
19,CTRSP-FILES025078-50_19.tif,36 homes are completed. ,136 497 286 510
20,CTRSP-FILES025078-50_20.tif,Since we cannot proceed with the next 24 homes until ,137 523 473 536
21,CTRSP-FILES025078-50_21.tif,"the Tobacco Institute submits the addresses, we request ",137 536 494 550
22,CTRSP-FILES025078-50_22.tif,payment on the first one third of the contract. ,137 550 441 563
23,CTRSP-FILES025078-50_23.tif,Total price (one third of Project) now due for payment ,137 575 488 590
24,CTRSP-FILES025078-50_24.tif,Yours faithfully. ,321 603 428 615
25,CTRSP-FILES025078-50_25.tif,For ACVA Atlantic Inc. ,321 629 460 639
26,CTRSP-FILES025078-50_26.tif,Gray Robertson ,321 669 409 680
27,CTRSP-FILES025078-50_27.tif,"$ 4,600.00 ",587 575 649 586
28,CTRSP-FILES025078-50_28.tif,Owdc # and DaW ,271 730 348 740
29,CTRSP-FILES025078-50_29.tif,Appro v«d for Pcy.nunt ,273 744 368 755
30,CTRSP-FILES025078-50_30.tif,Approved at to Ca»vaiy. ,271 757 378 768
31,CTRSP-FILES025078-50_31.tif,Voucher Numc«r_ .— ,271 770 379 779
32,CTRSP-FILES025078-50_32.tif,Accsi/nJ ai.d fit!o ,271 783 378 793
33,CTRSP-FILES025078-50_33.tif,'liVulliiOM Verified ■ ,272 796 378 806
34,CTRSP-FILES025078-50_34.tif,CTR SP-FILES 025078 ,371 939 671 962
35,CTRSP-FILES025078-50_35.tif,11025096 ,337 985 400 997
