,image_no,text,bb
0,ti15358056_8057_0.tif,"F. J. Miller Law Offices, P.A. ",225 163 499 181
1,ti15358056_8057_1.tif,Attn: Accounting ,315 193 410 205
2,ti15358056_8057_2.tif,P. 0. Box 146 ,326 209 400 219
3,ti15358056_8057_3.tif,Baldwin WI 54002-0146 ,297 225 428 235
4,ti15358056_8057_4.tif,715-684-4344 WI ,545 243 639 253
5,ti15358056_8057_5.tif,Invoice submitted to: 612-222-3949 MN ,92 260 644 274
6,ti15358056_8057_6.tif,Tobacco Litigation Liaison Counsel ,91 287 294 300
7,ti15358056_8057_7.tif,"ROBINS, KAPLAN, MILLER & CIRESI ",93 303 316 315
8,ti15358056_8057_8.tif,Attn: Roberta B. Walbum AND ,92 319 266 329
9,ti15358056_8057_9.tif,DORSEY & WHITNEY Attn.Peter Sipkins ,93 335 326 348
10,ti15358056_8057_10.tif,Minneapolis MN 55402 ,93 351 221 364
11,ti15358056_8057_11.tif,"April 30, 1997 ",93 402 171 415
12,ti15358056_8057_12.tif,In Reference To: ,93 417 183 428
13,ti15358056_8057_13.tif,Invoice #10507 ,94 432 177 443
14,ti15358056_8057_14.tif,State of Minnesota and Blue Cross Blue Shield of Minnesota ,218 417 538 428
15,ti15358056_8057_15.tif,v. ,218 437 227 444
16,ti15358056_8057_16.tif,"Philip Morris Incorporated, et al. ",218 449 390 463
17,ti15358056_8057_17.tif,Dist Ct. Cl-94-8565 ,218 481 325 492
18,ti15358056_8057_18.tif,Ramsey Co. ,475 466 538 478
19,ti15358056_8057_19.tif,Expenses of court-ordered observation of meet and confers ,218 513 528 526
20,ti15358056_8057_20.tif,between the parties. ,218 529 322 542
21,ti15358056_8057_21.tif,Professional services ,153 591 269 600
22,ti15358056_8057_22.tif,Amount ,579 623 622 634
23,ti15358056_8057_23.tif,3/28/97 ,101 655 141 665
24,ti15358056_8057_24.tif,"Teleconference with Richard Parker, Jon Redgrave and ",153 654 445 667
25,ti15358056_8057_25.tif,Defendants' Technical consultant. ,154 670 332 680
26,ti15358056_8057_26.tif,1.00 ,526 655 547 664
27,ti15358056_8057_27.tif,150.00 ,513 670 547 680
28,ti15358056_8057_28.tif,150.00 ,588 655 622 665
29,ti15358056_8057_29.tif,4/1/97 ,107 702 141 713
30,ti15358056_8057_30.tif,Telephone Meet and Confer with PM and Plaintiffs rc PMI ,153 702 466 715
31,ti15358056_8057_31.tif,intitial Order. ,154 718 225 729
32,ti15358056_8057_32.tif,0.75 ,525 702 547 712
33,ti15358056_8057_33.tif,150.00 ,514 718 548 728
34,ti15358056_8057_34.tif,112.50 ,588 702 623 713
35,ti15358056_8057_35.tif,4/2/97 ,108 751 142 761
36,ti15358056_8057_36.tif,Meet and Confer scheduling. ,154 750 307 763
37,ti15358056_8057_37.tif,0.50 ,526 751 548 761
38,ti15358056_8057_38.tif,150.00 ,514 767 548 777
39,ti15358056_8057_39.tif,75.00 ,594 751 623 761
40,ti15358056_8057_40.tif,Til 535-8056 ,643 964 722 974
