,image_no,text,bb
0,ti16310260_0.tif,POLITICAL CAMPAIGN CONTRIBUTION REQUEST ,202 108 528 120
1,ti16310260_1.tif,"Date: October 24, 1994 ",53 163 233 176
2,ti16310260_2.tif,State or Local: state ,428 161 610 171
3,ti16310260_3.tif,RECIPIENT INFORMATION ,277 202 452 212
4,ti16310260_4.tif,Name: ,52 233 91 243
5,ti16310260_5.tif,Address: ,52 260 116 270
6,ti16310260_6.tif,Current Office ,53 313 167 324
7,ti16310260_7.tif,and District: ,110 326 215 336
8,ti16310260_8.tif,Aspired Office ,52 340 167 354
9,ti16310260_9.tif,and District: ,110 354 215 364
10,ti16310260_10.tif,Party ,53 382 92 395
11,ti16310260_11.tif,Leadership Position: ,52 409 214 422
12,ti16310260_12.tif,Committees: ,53 437 140 447
13,ti16310260_13.tif,ocrats '94 ,260 231 342 240
14,ti16310260_14.tif,Florida Democratic Party ,235 257 435 269
15,ti16310260_15.tif,P.O. Box 1758 ,236 272 343 281
16,ti16310260_16.tif,"Tallahassee, FL 32302 ",235 284 417 295
17,ti16310260_17.tif,Democrat ,235 381 300 390
18,ti16310260_18.tif,n/a ,234 409 257 420
19,ti16310260_19.tif,n/a ,235 436 258 447
20,ti16310260_20.tif,CONTRIBUTION INFORMATION ,263 489 463 499
21,ti16310260_21.tif,Amount: $500.00 Account Code: 1401-7710-FL01 ,51 528 665 543
22,ti16310260_22.tif,Check Pay to: Democrats '94 ,51 558 282 572
23,ti16310260_23.tif,Address: ,52 587 115 597
24,ti16310260_24.tif,(Only if different from address above) ,70 625 379 639
25,ti16310260_25.tif,Notes: ,51 655 97 665
26,ti16310260_26.tif,(Date needed; fundraiser date; other information) ,70 665 471 679
27,ti16310260_27.tif,ce President's signature) ,333 719 537 732
28,ti16310260_28.tif,(Senior Vice President's signature) ,244 774 529 788
29,ti16310260_29.tif,Approved by: ,51 709 147 721
30,ti16310260_30.tif,"T-M, ",233 703 330 723
31,ti16310260_31.tif,(Regional Vi ,235 721 331 734
32,ti16310260_32.tif,Til 631-0260 ,641 963 722 975
