,image_no,text,bb
0,tob02910.64_0.tif,RECAPITULATION OF ADVERTISING COSTS ,247 31 591 43
1,tob02910.64_1.tif,Barron's Advertisement - . ' ,129 66 587 81
2,tob02910.64_2.tif,■ ■ * ■ ■■ V l . 1 ,127 78 615 84
3,tob02910.64_3.tif,Newspaper space ,148 106 294 119
4,tob02910.64_4.tif,Newspaper Production costs ,148 123 403 137
5,tob02910.64_5.tif,Magazine space ,147 142 284 156
6,tob02910.64_6.tif,Magazine Production costs ,147 160 393 175
7,tob02910.64_7.tif,Research Study (questionnaire) ,148 179 439 194
8,tob02910.64_8.tif,Extra Proofs ,147 198 263 209
9,tob02910.64_9.tif,"$421,902.09 ",524 106 629 120
10,tob02910.64_10.tif,"12,717.77 ",543 124 629 138
11,tob02910.64_11.tif,"98,786.57 ",543 143 628 157
12,tob02910.64_12.tif,826.81 ,572 162 628 173
13,tob02910.64_13.tif,"6,000.00 ",552 181 628 193
14,tob02910.64_14.tif,102.50 ,572 199 628 210
15,tob02910.64_15.tif,"Total Cost $540,335.74 ",186 235 627 249
16,tob02910.64_16.tif,"Less amt. rec. from Lorillard 50,000.00 ",185 254 627 267
17,tob02910.64_17.tif,"Total cost for 4-company participation $490,335.74 ",126 291 627 305
18,tob02910.64_18.tif,True Advertisement - ,125 346 322 359
19,tob02910.64_19.tif,■ ■ ■ ■ ■— ,124 359 323 362
20,tob02910.64_20.tif,"Newspaper space $ 66,194.58 ",144 385 626 399
21,tob02910.64_21.tif,"Production costs 1,112.14 ",145 403 626 417
22,tob02910.64_22.tif,"Total cost for 3-company participation $ 67,306.72 ",124 441 625 456
23,tob02910.64_23.tif,Brown & Williamson Tobacco Corporation ,130 528 500 542
24,tob02910.64_24.tif,Barron's Advertisement - 21.57% ,130 564 433 577
25,tob02910.64_25.tif,Paid to date ,149 583 265 595
26,tob02910.64_26.tif,"$105,765.41 ",474 563 578 577
27,tob02910.64_27.tif,"101,527.54 ",483 581 578 593
28,tob02910.64_28.tif,Amount still due ,177 619 334 631
29,tob02910.64_29.tif,True Advertisement - 24.69% ,129 654 394 666
30,tob02910.64_30.tif,Paid to date ,149 673 264 684
31,tob02910.64_31.tif,Amount still due ,177 708 334 721
32,tob02910.64_32.tif,"$16,618.06 ",474 652 568 666
33,tob02910.64_33.tif,"16,459.16 ",483 670 568 684
34,tob02910.64_34.tif,"$4,237.87 ",619 616 703 629
35,tob02910.64_35.tif,$ 158.90 ,619 705 704 717
36,tob02910.64_36.tif,Total now due Tiderock Corporation ,129 760 461 774
37,tob02910.64_37.tif,"$4,396.77 ",619 759 703 772
38,tob02910.64_38.tif,CONFIDENTIAL: ,194 824 331 841
39,tob02910.64_39.tif,MINNESOTA TOBACCO LITIGATION ,109 839 416 862
40,tob02910.64_40.tif,TIMN 0071430 ,530 807 684 830
41,tob02910.64_41.tif,"""713816 ",623 854 724 879
